Name,volume,group_games,college_life_and_alumni,sports,art_and_culture,comedy,theater_and_performing_arts,outdoor_recreation,seasonal_and_holidays,educational_events,local_and_neighborhood_pride,classical_music,pop_rock,alternative_rock,electronic_music,hip_hop_and_rnb,jazz_and_blues,country_and_folk,festivals_fairs_and_attractions,movies_and_cinema
hiphop,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bluegrass,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dotcal,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penn state,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azcentral,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blues,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
festival,322,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
bookstore,321,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
attraction,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
guide,320,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
guitar,319,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
hobbies,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alternative,312,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
clubs,310,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
rutgers,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
performing arts,306,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
cars,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
free,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contemporary,302,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
cultural,301,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
city,301,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
nature,299,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tourism,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
workit,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metal,293,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
athletics,292,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hall,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marathon,289,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tours,284,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gala,284,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
convention,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
clubs,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
children,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseball,277,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gallery,276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filmfestival,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
half,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
ballet,271,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
pro,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
festivals_parades_parades,268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
world,268,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
happenings,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tour,266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bass,266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fishing,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
well-beinghealthparenting,260,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
classes,260,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
beer,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hip-hop,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
urban,253,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
volleyball,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
songwriter,251,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
attractinos,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
christian,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
happyhour,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nightlife,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crafts,249,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
experimental,243,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
workshops,243,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
training,242,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
karaoke,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noble,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barnes,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warped tour,238,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
vans warped tour,238,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
pub,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nationalfootballleague,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
church,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fairs,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
downtown,230,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
community events,229,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
top,227,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fall,227,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
drama,227,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cuv,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newage,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murph,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
animals,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plays,221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
record,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kids,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
games,221,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
public,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
musicals,220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
records,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barack Obama,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
books,217,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
acting,216,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yoga,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entertainer,213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
county,213,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cycling,213,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drinks,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
school,212,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pets,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reading,210,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
soul,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
entertainment,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
literary,208,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bars,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comp,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rated,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
funny,205,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
day,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vacation,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water,201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
game,201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recreationarts,201,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
venues,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parade,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pet,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planet,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
continued,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jam,196,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
orguniversityevents,195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nightclub,195,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
shopping,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
label,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
victory,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
groups,191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angeles,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
good,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
television,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cross,188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
texas,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golf,187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cruise,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
students,186,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
book,185,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
national,184,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
opera,184,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
center,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sightseeing,183,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fashion,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
texas,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
latin,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bar,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
events,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cpd,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
red,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hop,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
media,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
festivals,175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
expo,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new Years,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorsports,173,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cultural,171,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
usa,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cvb,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
racing,169,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
list,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
broadway,169,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
massachusetts,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pegasus news,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electronica,168,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
vacationing,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cruises,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
records,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
travel,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
news,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pegasus,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
production,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triathlon,161,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
track,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rock_pop,160,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotel,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
softball,159,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acrobats,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
california,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indianapolis,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
venue,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
band,156,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
museum exhibits,155,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
nyc,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voice,155,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
art,155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
author,154,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
golf,154,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raphip,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tours,153,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
event,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
help,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speaking,150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
roots,149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
beer,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
international,149,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
americanhockeyleague,149,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahl,149,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lu,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kut,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lawrence,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vikings,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
folk,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
attraction,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
retreat,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extreme,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nwsource,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hot,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lorida,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lawrence university,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
danceelectronica,141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
african,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
neighborhood,140,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
hip,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
va,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wfcr,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electro,139,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
buddhism,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorsportreg,139,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
friendly,139,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
visitnc,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mile,138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
virginia,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buddhist,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
universal,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
well-beinghealth,137,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brewery,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
northeastern,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gallery,135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seniors,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smarter,134,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
opera,134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
child,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autocross,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
public Library,132,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
autoslalom,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brewery,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hockey,130,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
seller,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
government,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
folkrock,129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
limits,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
folk_trad,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hip hop,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
maybefamily,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meeting,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bay area,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wisconsin,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
techno,126,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
literature,125,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
single,125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
free,125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hpde,125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mid,125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baptist,124,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
club,124,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
80s_rock,124,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
rock_of_ages,124,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dance,123,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
course,123,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
prayer,123,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
place,123,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bible,123,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indie,123,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ballet,121,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
medical,121,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
age,121,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rb_soul,121,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tabernacle,121,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
piano,120,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
soul,120,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
parenting,120,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
performing,119,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time trials,119,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fellowship,119,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
live performance,118,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
commencement,118,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wnij,118,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monster trucks,117,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
movies,117,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
broadway,117,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
care,115,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
party,115,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hip,115,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
five,114,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exercise,113,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
export_gannett,113,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worship,112,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hop,112,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cheerleading,112,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
visit,112,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dance,112,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
underground,111,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
kcur,111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
life,111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
performers,111,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
trucks,110,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minority,110,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
